Year,Month,Region,Home Size,Purchase Completion,Average Sales Price,Number of Households (Thousands),Median Income - Current Dollars,Median Income - 2022 Dollars,Mean Income - Current Dollars,Mean Income - 2022 Dollars
2022,12,Midwest,Double,0,144300,28280,73070,73070,102400,102400
2022,12,Midwest,Single ,0,82300,28280,73070,73070,102400,102400
2022,12,Midwest,Total1,0,104700,28280,73070,73070,102400,102400
2022,12,Northeast,Double,0,158300,22630,80360,80360,115300,115300
2022,12,Northeast,Single ,0,75300,22630,80360,80360,115300,115300
2022,12,Northeast,Total1,1,113900,22630,80360,80360,115300,115300
2022,12,South,Double,0,155400,51080,68230,68230,98250,98250
2022,12,South,Single ,1,80700,51080,68230,68230,98250,98250
2022,12,South,Total1,1,124000,51080,68230,68230,98250,98250
2022,12,United States,Double,1,155700,131400,74580,74580,106400,106400
2022,12,United States,Single ,1,80200,131400,74580,74580,106400,106400
2022,12,United States,Total1,0,122100,131400,74580,74580,106400,106400
2022,12,West,Double,0,162400,29440,82890,82890,117500,117500
2022,12,West,Single ,0,77600,29440,82890,82890,117500,117500
2022,12,West,Total1,0,134700,29440,82890,82890,117500,117500
2022,11,Midwest,Double,0,147600,28280,73070,73070,102400,102400
2022,11,Midwest,Single ,1,89100,28280,73070,73070,102400,102400
2022,11,Midwest,Total1,0,113600,28280,73070,73070,102400,102400
2022,11,Northeast,Double,1,146700,22630,80360,80360,115300,115300
2022,11,Northeast,Single ,1,93900,22630,80360,80360,115300,115300
2022,11,Northeast,Total1,1,119200,22630,80360,80360,115300,115300
2022,11,South,Double,1,155800,51080,68230,68230,98250,98250
2022,11,South,Single ,0,86500,51080,68230,68230,98250,98250
2022,11,South,Total1,0,126000,51080,68230,68230,98250,98250
2022,11,United States,Double,0,155200,131400,74580,74580,106400,106400
2022,11,United States,Single ,0,88000,131400,74580,74580,106400,106400
2022,11,United States,Total1,0,125200,131400,74580,74580,106400,106400
2022,11,West,Double,1,161800,29440,82890,82890,117500,117500
2022,11,West,Single ,0,89500,29440,82890,82890,117500,117500
2022,11,West,Total1,1,138400,29440,82890,82890,117500,117500
2022,10,Midwest,Double,1,156700,28280,73070,73070,102400,102400
2022,10,Midwest,Single ,1,87500,28280,73070,73070,102400,102400
2022,10,Midwest,Total1,1,113500,28280,73070,73070,102400,102400
2022,10,Northeast,Double,0,155300,22630,80360,80360,115300,115300
2022,10,Northeast,Single ,0,86400,22630,80360,80360,115300,115300
2022,10,Northeast,Total1,0,127000,22630,80360,80360,115300,115300
2022,10,South,Double,0,160000,51080,68230,68230,98250,98250
2022,10,South,Single ,0,77000,51080,68230,68230,98250,98250
2022,10,South,Total1,1,128100,51080,68230,68230,98250,98250
2022,10,United States,Double,0,160400,131400,74580,74580,106400,106400
2022,10,United States,Single ,1,81400,131400,74580,74580,106400,106400
2022,10,United States,Total1,1,128300,131400,74580,74580,106400,106400
2022,10,West,Double,1,167300,29440,82890,82890,117500,117500
2022,10,West,Single ,1,86200,29440,82890,82890,117500,117500
2022,10,West,Total1,0,153600,29440,82890,82890,117500,117500
2022,9,Midwest,Double,0,155500,28280,73070,73070,102400,102400
2022,9,Midwest,Single ,0,93000,28280,73070,73070,102400,102400
2022,9,Midwest,Total1,0,114600,28280,73070,73070,102400,102400
2022,9,Northeast,Double,0,162000,22630,80360,80360,115300,115300
2022,9,Northeast,Single ,1,101400,22630,80360,80360,115300,115300
2022,9,Northeast,Total1,0,131300,22630,80360,80360,115300,115300
2022,9,South,Double,1,158500,51080,68230,68230,98250,98250
2022,9,South,Single ,1,94400,51080,68230,68230,98250,98250
2022,9,South,Total1,1,130300,51080,68230,68230,98250,98250
2022,9,United States,Double,1,159400,131400,74580,74580,106400,106400
2022,9,United States,Single ,0,95800,131400,74580,74580,106400,106400
2022,9,United States,Total1,0,130400,131400,74580,74580,106400,106400
2022,9,West,Double,0,163900,29440,82890,82890,117500,117500
2022,9,West,Single ,0,107500,29440,82890,82890,117500,117500
2022,9,West,Total1,0,148600,29440,82890,82890,117500,117500
2022,8,Midwest,Double,1,151900,28280,73070,73070,102400,102400
2022,8,Midwest,Single ,0,87500,28280,73070,73070,102400,102400
2022,8,Midwest,Total1,1,110900,28280,73070,73070,102400,102400
2022,8,Northeast,Double,1,145100,22630,80360,80360,115300,115300
2022,8,Northeast,Single ,1,74700,22630,80360,80360,115300,115300
2022,8,Northeast,Total1,1,117800,22630,80360,80360,115300,115300
2022,8,South,Double,0,159400,51080,68230,68230,98250,98250
2022,8,South,Single ,0,86000,51080,68230,68230,98250,98250
2022,8,South,Total1,0,126400,51080,68230,68230,98250,98250
2022,8,United States,Double,0,158800,131400,74580,74580,106400,106400
2022,8,United States,Single ,0,86500,131400,74580,74580,106400,106400
2022,8,United States,Total1,1,125700,131400,74580,74580,106400,106400
2022,8,West,Double,0,166400,29440,82890,82890,117500,117500
2022,8,West,Single ,1,93400,29440,82890,82890,117500,117500
2022,8,West,Total1,1,144100,29440,82890,82890,117500,117500
2022,7,Midwest,Double,1,156100,28280,73070,73070,102400,102400
2022,7,Midwest,Single ,1,83600,28280,73070,73070,102400,102400
2022,7,Midwest,Total1,0,110800,28280,73070,73070,102400,102400
2022,7,Northeast,Double,0,157400,22630,80360,80360,115300,115300
2022,7,Northeast,Single ,0,93300,22630,80360,80360,115300,115300
2022,7,Northeast,Total1,0,129700,22630,80360,80360,115300,115300
2022,7,South,Double,0,158700,51080,68230,68230,98250,98250
2022,7,South,Single ,1,82900,51080,68230,68230,98250,98250
2022,7,South,Total1,0,131300,51080,68230,68230,98250,98250
2022,7,United States,Double,1,161600,131400,74580,74580,106400,106400
2022,7,United States,Single ,1,85200,131400,74580,74580,106400,106400
2022,7,United States,Total1,1,131800,131400,74580,74580,106400,106400
2022,7,West,Double,1,178200,29440,82890,82890,117500,117500
2022,7,West,Single ,0,97300,29440,82890,82890,117500,117500
2022,7,West,Total1,0,156800,29440,82890,82890,117500,117500
2022,6,Midwest,Double,0,146500,28280,73070,73070,102400,102400
2022,6,Midwest,Single ,0,90100,28280,73070,73070,102400,102400
2022,6,Midwest,Total1,0,112500,28280,73070,73070,102400,102400
2022,6,Northeast,Double,1,134100,22630,80360,80360,115300,115300
2022,6,Northeast,Single ,0,92700,22630,80360,80360,115300,115300
2022,6,Northeast,Total1,1,118500,22630,80360,80360,115300,115300
2022,6,South,Double,1,159900,51080,68230,68230,98250,98250
2022,6,South,Single ,1,88200,51080,68230,68230,98250,98250
2022,6,South,Total1,1,125300,51080,68230,68230,98250,98250
2022,6,United States,Double,0,159600,131400,74580,74580,106400,106400
2022,6,United States,Single ,0,87600,131400,74580,74580,106400,106400
2022,6,United States,Total1,0,126900,131400,74580,74580,106400,106400
2022,6,West,Double,0,174500,29440,82890,82890,117500,117500
2022,6,West,Single ,0,68400,29440,82890,82890,117500,117500
2022,6,West,Total1,1,154200,29440,82890,82890,117500,117500
2022,5,Midwest,Double,0,148800,28280,73070,73070,102400,102400
2022,5,Midwest,Single ,1,83600,28280,73070,73070,102400,102400
2022,5,Midwest,Total1,1,112300,28280,73070,73070,102400,102400
